% Model:              spr_bsa_calc.mph
% Version:            COMSOL 6.0.0.405
% Date:               Nov 27 2024, 09:33
% Table:              Table 1 - Global Evaluation 1
% in_rad                 h_BSA (nm)               freq (THz)               Reflectance, port 1 (1)
1.05                     0.9999999999999999       304.66713211382114       0.9156349585903033
1.05                     6                        304.66713211382114       0.91759400033174
1.05                     11                       304.66713211382114       0.9194213374311251
1.05                     15.999999999999998       304.66713211382114       0.9211227754947403
1.05                     21                       304.66713211382114       0.9227046494622445
1.05                     25.999999999999996       304.66713211382114       0.9241736134011979
1.05                     30.999999999999996       304.66713211382114       0.9255364082768566
1.05                     36                       304.66713211382114       0.9267997094962155
1.05                     41                       304.66713211382114       0.9279700161907379
1.05                     45.99999999999999        304.66713211382114       0.9290535768619548
1.05                     50.99999999999999        304.66713211382114       0.9300563378469444
1.05                     56                       304.66713211382114       0.9309839152729708
1.051                    0.9999999999999999       304.66713211382114       0.9158271486781213
1.051                    6                        304.66713211382114       0.9178075769046926
1.051                    11                       304.66713211382114       0.9196516776567624
1.051                    15.999999999999998       304.66713211382114       0.9213659586297952
1.051                    21                       304.66713211382114       0.9229573731081449
1.051                    25.999999999999996       304.66713211382114       0.924433116454105
1.051                    30.999999999999996       304.66713211382114       0.9258003985131247
1.051                    36                       304.66713211382114       0.9270662973874273
1.051                    41                       304.66713211382114       0.928237656305483
1.051                    45.99999999999999        304.66713211382114       0.9293210157086848
1.051                    50.99999999999999        304.66713211382114       0.9303225689282701
1.051                    56                       304.66713211382114       0.9312481397678304
1.052                    0.9999999999999999       304.66713211382114       0.9160427346134802
1.052                    6                        304.66713211382114       0.9180439833336476
1.052                    11                       304.66713211382114       0.9199041671775735
1.052                    15.999999999999998       304.66713211382114       0.9216305374669519
1.052                    21                       304.66713211382114       0.9232306977702059
1.052                    25.999999999999996       304.66713211382114       0.9247124089435435
1.052                    30.999999999999996       304.66713211382114       0.9260833676748024
1.052                    36                       304.66713211382114       0.9273510677838531
1.052                    41                       304.66713211382114       0.9285227057693545
1.052                    45.99999999999999        304.66713211382114       0.9296051202077195
1.052                    50.99999999999999        304.66713211382114       0.9306047553617092
1.052                    56                       304.66713211382114       0.9315276449426563
1.053                    0.9999999999999999       304.66713211382114       0.9162836894238039
1.053                    6                        304.66713211382114       0.9183050665409045
1.053                    11                       304.66713211382114       0.9201805316793694
1.053                    15.999999999999998       304.66713211382114       0.9219181230337964
1.053                    21                       304.66713211382114       0.9235261273131883
1.053                    25.999999999999996       304.66713211382114       0.9250128954299784
1.053                    30.999999999999996       304.66713211382114       0.9263866288647746
1.053                    36                       304.66713211382114       0.9276552499282945
1.053                    41                       304.66713211382114       0.9288263171619792
1.053                    45.99999999999999        304.66713211382114       0.9299069729949435
1.053                    50.99999999999999        304.66713211382114       0.9309039160442248
1.053                    56                       304.66713211382114       0.9318233916430091
1.054                    0.9999999999999999       304.66713211382114       0.9165522041652837
1.054                    6                        304.66713211382114       0.9185928727198193
1.054                    11                       304.66713211382114       0.920482679217363
1.054                    15.999999999999998       304.66713211382114       0.9222304935986534
1.054                    21                       304.66713211382114       0.9238453193546808
1.054                    25.999999999999996       304.66713211382114       0.9253361222292183
1.054                    30.999999999999996       304.66713211382114       0.9267116262794368
1.054                    36                       304.66713211382114       0.9279801946796036
1.054                    41                       304.66713211382114       0.9291497562473546
1.054                    45.99999999999999        304.66713211382114       0.9302277623783077
1.054                    50.99999999999999        304.66713211382114       0.9312211688392094
1.054                    56                       304.66713211382114       0.9321364336826449
1.055                    0.9999999999999999       304.66713211382114       0.9168507201201281
1.055                    6                        304.66713211382114       0.9189096764364483
1.055                    11                       304.66713211382114       0.9208127266259194
1.055                    15.999999999999998       304.66713211382114       0.9225696187391352
1.055                    21                       304.66713211382114       0.9241901072977434
1.055                    25.999999999999996       304.66713211382114       0.9256837976699893
1.055                    30.999999999999996       304.66713211382114       0.9270599539135106
1.055                    36                       304.66713211382114       0.9283273918562944
1.055                    41                       304.66713211382114       0.9294944181189042
1.055                    45.99999999999999        304.66713211382114       0.9305687974243013
1.055                    50.99999999999999        304.66713211382114       0.9315577447226472
1.055                    56                       304.66713211382114       0.9324679311528596
1.056                    0.9999999999999999       304.66713211382114       0.9171819672103779
1.056                    6                        304.66713211382114       0.9192580153330941
1.056                    11                       304.66713211382114       0.9211730310037033
1.056                    15.999999999999998       304.66713211382114       0.9229376880367488
1.056                    21                       304.66713211382114       0.9245625266014419
1.056                    25.999999999999996       304.66713211382114       0.9260578162537788
1.056                    30.999999999999996       304.66713211382114       0.9274333778763421
1.056                    36                       304.66713211382114       0.9286984909361005
1.056                    41                       304.66713211382114       0.9298618464760094
1.056                    45.99999999999999        304.66713211382114       0.9309315259750086
1.056                    50.99999999999999        304.66713211382114       0.9319150046857526
1.056                    56                       304.66713211382114       0.9328191663313422
1.057                    0.9999999999999999       304.66713211382114       0.9175490101623294
