% Model:              spr_1d_bsa_cake.mph
% Version:            COMSOL 6.2.0.339
% Date:               Feb 21 2025, 09:41
% Table:              Table 1 - Reflectance, Transmittance, and Absorptance (ewfd)
% in_rad (rad)           h_BSA (nm)               freq (THz)               Reflectance, order 0 (1)
1.117010721276371        0.9999999999999999       304.66713211382114       0.9645364217052955
1.117010721276371        6                        304.66713211382114       0.9666636049669531
1.117010721276371        11                       304.66713211382114       0.9673720098662855
1.117010721276371        15.999999999999998       304.66713211382114       0.9673884711516846
1.117010721276371        21                       304.66713211382114       0.9670606911991518
1.117010721276371        25.999999999999996       304.66713211382114       0.9665645789859123
1.117010721276371        30.999999999999996       304.66713211382114       0.9659926582775349
1.117010721276371        36                       304.66713211382114       0.9653947515751626
1.117010721276371        41                       304.66713211382114       0.9647978866909981
1.117010721276371        45.99999999999999        304.66713211382114       0.9642165340444794
1.1187560505283651       0.9999999999999999       304.66713211382114       0.9620212791261248
1.1187560505283651       6                        304.66713211382114       0.9655935978116787
1.1187560505283651       11                       304.66713211382114       0.9669944500813068
1.1187560505283651       15.999999999999998       304.66713211382114       0.9673582607457645
1.1187560505283651       21                       304.66713211382114       0.9672078659045404
1.1187560505283651       25.999999999999996       304.66713211382114       0.9668009089042577
1.1187560505283651       30.999999999999996       304.66713211382114       0.96627060556484
1.1187560505283651       36                       304.66713211382114       0.9656880946431537
1.1187560505283651       41                       304.66713211382114       0.9650920255222736
1.1187560505283651       45.99999999999999        304.66713211382114       0.9645034031423915
1.1205013797803596       0.9999999999999999       304.66713211382114       0.9581818438146831
1.1205013797803596       6                        304.66713211382114       0.9639060723028574
1.1205013797803596       11                       304.66713211382114       0.9663041539223503
1.1205013797803596       15.999999999999998       304.66713211382114       0.9671594497492618
1.1205013797803596       21                       304.66713211382114       0.9672596331627288
1.1205013797803596       25.999999999999996       304.66713211382114       0.9669811300256947
1.1205013797803596       30.999999999999996       304.66713211382114       0.9665144958157084
1.1205013797803596       36                       304.66713211382114       0.9659601961823978
1.1205013797803596       41                       304.66713211382114       0.9653725801570788
1.1205013797803596       45.99999999999999        304.66713211382114       0.9647813630871396
1.1222467090323538       0.9999999999999999       304.66713211382114       0.9523959395973101
1.1222467090323538       6                        304.66713211382114       0.9613560724677995
1.1222467090323538       11                       304.66713211382114       0.9651933093026244
1.1222467090323538       15.999999999999998       304.66713211382114       0.9667403834565141
1.1222467090323538       21                       304.66713211382114       0.9671895933707952
