% Model:              spr_1d_homo_index.mph
% Version:            COMSOL 6.2.0.339
% Date:               Feb 26 2025, 09:48
% Table:              Table 1 - Reflectance, Transmittance, and Absorptance (ewfd)
% in_rad (rad)           n_channel                lambda0 (nm)             Reflectance, order 0 (1)
1.1                      1.33                     983.9999999999999        0.9664178110616665
1.1                      1.3305                   983.9999999999999        0.9669761020590226
1.1                      1.331                    983.9999999999999        0.967405044891652
1.1                      1.3315000000000001       983.9999999999999        0.9677242871030334
1.1                      1.332                    983.9999999999999        0.9679502043961948
1.1                      1.3325                   983.9999999999999        0.9680964912944106
1.1                      1.333                    983.9999999999999        0.9681746340222868
1.1                      1.3335000000000001       983.9999999999999        0.9681942909255583
1.1                      1.334                    983.9999999999999        0.9681635998974346
1.1                      1.3345                   983.9999999999999        0.9680894278520737
1.1                      1.335                    983.9999999999999        0.9679775738610819
1.1                      1.3355000000000001       983.9999999999999        0.967832935088193
1.1                      1.336                    983.9999999999999        0.9676596426316209
1.1                      1.3365                   983.9999999999999        0.9674611728469674
1.1                      1.337                    983.9999999999999        0.9672404385921274
1.1                      1.3375000000000001       983.9999999999999        0.9669998638089525
1.1                      1.338                    983.9999999999999        0.9667414442031769
1.1                      1.3385                   983.9999999999999        0.9664667961149238
1.1                      1.339                    983.9999999999999        0.9661771952121878
1.1                      1.3395000000000001       983.9999999999999        0.9658736062002967
1.1                      1.34                     983.9999999999999        0.9655567043911983
1.1                      1.3405                   983.9999999999999        0.9652268896406148
1.1                      1.341                    983.9999999999999        0.9648842927601751
1.1                      1.3415000000000001       983.9999999999999        0.9645287743116302
1.1                      1.342                    983.9999999999999        0.9641599151169649
1.1                      1.3425                   983.9999999999999        0.9637769974820816
1.1                      1.343                    983.9999999999999        0.9633789754821233
1.1                      1.3435000000000001       983.9999999999999        0.9629644318421022
1.1                      1.344                    983.9999999999999        0.9625315179020911
1.1                      1.3445                   983.9999999999999        0.9620778716177563
1.1                      1.345                    983.9999999999999        0.9616005062743842
1.1                      1.3455000000000001       983.9999999999999        0.9610956594562665
1.1                      1.346                    983.9999999999999        0.9517842496532762
1.1                      1.3465                   983.9999999999999        0.9458822461168748
1.1                      1.347                    983.9999999999999        0.9419390733155866
1.1                      1.3475000000000001       983.9999999999999        0.9388612535619186
1.1                      1.348                    983.9999999999999        0.9363100625912111
1.1                      1.3485                   983.9999999999999        0.9341250266937531
1.1                      1.349                    983.9999999999999        0.9322143045525425
1.1                      1.3495000000000001       983.9999999999999        0.9305191647327231
1.1                      1.35                     983.9999999999999        0.9289991789994747
1.1                      1.3505                   983.9999999999999        0.9276250173964361
1.1                      1.351                    983.9999999999999        0.9263745477381164
1.1                      1.3515000000000001       983.9999999999999        0.9252305516641618
1.1                      1.352                    983.9999999999999        0.9241793036105399
1.1                      1.3525                   983.9999999999999        0.923209643205985
1.1                      1.353                    983.9999999999999        0.9223123454268675
1.1                      1.3535000000000001       983.9999999999999        0.9214796787268221
1.1                      1.354                    983.9999999999999        0.9207050864353343
1.1                      1.3545                   983.9999999999999        0.9199829513945991
1.1                      1.355                    983.9999999999999        0.91930841865571
1.1                      1.3555000000000001       983.9999999999999        0.9186772593494835
1.1                      1.356                    983.9999999999999        0.9180857646302909
1.1                      1.3565                   983.9999999999999        0.917530661853892
1.1                      1.357                    983.9999999999999        0.9170090473957235
1.1                      1.3575000000000002       983.9999999999999        0.9165183323647285
1.1                      1.358                    983.9999999999999        0.9160561982030766
1.1                      1.3585                   983.9999999999999        0.9156205600025892
1.1                      1.359                    983.9999999999999        0.9152095360034966
1.1                      1.3595000000000002       983.9999999999999        0.9148214220338301
1.1                      1.36                     983.9999999999999        0.9144546699346855
1.101                    1.33                     983.9999999999999        0.9653904944517465
1.101                    1.3305                   983.9999999999999        0.9661571548604412
1.101                    1.331                    983.9999999999999        0.9667624217137866
1.101                    1.3315000000000001       983.9999999999999        0.9672313671260171
1.101                    1.332                    983.9999999999999        0.9675847892546103
1.101                    1.3325                   983.9999999999999        0.9678400070444002
1.101                    1.333                    983.9999999999999        0.9680114923063063
1.101                    1.3335000000000001       983.9999999999999        0.968111375061908
1.101                    1.334                    983.9999999999999        0.9681498495580895
1.101                    1.3345                   983.9999999999999        0.9681355020698904
1.101                    1.335                    983.9999999999999        0.9680755765578386
1.101                    1.3355000000000001       983.9999999999999        0.9679761908474034
1.101                    1.336                    983.9999999999999        0.9678425130980178
1.101                    1.3365                   983.9999999999999        0.9676789061949138
1.101                    1.337                    983.9999999999999        0.9674890461118817
1.101                    1.3375000000000001       983.9999999999999        0.9672760189307529
1.101                    1.338                    983.9999999999999        0.9670424002812277
1.101                    1.3385                   983.9999999999999        0.9667903201053928
1.101                    1.339                    983.9999999999999        0.9665215150447978
1.101                    1.3395000000000001       983.9999999999999        0.9662373702080631
1.101                    1.34                     983.9999999999999        0.9659389516488331
1.101                    1.3405                   983.9999999999999        0.9656270305224741
1.101                    1.341                    983.9999999999999        0.9653020994540824
1.101                    1.3415000000000001       983.9999999999999        0.9649643815026163
1.101                    1.342                    983.9999999999999        0.9646138315505579
1.101                    1.3425                   983.9999999999999        0.9642501297411828
1.101                    1.343                    983.9999999999999        0.9638726660805567
1.101                    1.3435000000000001       983.9999999999999        0.9634805147595944
1.101                    1.344                    983.9999999999999        0.9630723960766784
1.101                    1.3445                   983.9999999999999        0.9626466228747528
1.101                    1.345                    983.9999999999999        0.9622010269726544
1.101                    1.3455000000000001       983.9999999999999        0.9617328592803561
1.101                    1.346                    983.9999999999999        0.9612386543090797
1.101                    1.3465                   983.9999999999999        0.9555345331275459
1.101                    1.347                    983.9999999999999        0.9476567474236346
1.101                    1.3475000000000001       983.9999999999999        0.9432113164414815
1.101                    1.348                    983.9999999999999        0.9398696270488218
1.101                    1.3485                   983.9999999999999        0.9371475458347664
1.101                    1.349                    983.9999999999999        0.9348396654303432
1.101                    1.3495000000000001       983.9999999999999        0.9328349234405722
1.101                    1.35                     983.9999999999999        0.9310647565956898
1.101                    1.3505                   983.9999999999999        0.9294830925888095
1.101                    1.351                    983.9999999999999        0.9280570872687212
1.101                    1.3515000000000001       983.9999999999999        0.926762284198431
1.101                    1.352                    983.9999999999999        0.92557985401631
1.101                    1.3525                   983.9999999999999        0.9244949121334248
1.101                    1.353                    983.9999999999999        0.9234954385287393
1.101                    1.3535000000000001       983.9999999999999        0.9225715542311381
1.101                    1.354                    983.9999999999999        0.9217150195637897
1.101                    1.3545                   983.9999999999999        0.920918875683186
1.101                    1.355                    983.9999999999999        0.9201771821567011
1.101                    1.3555000000000001       983.9999999999999        0.9194848205233547
1.101                    1.356                    983.9999999999999        0.9188373445651602
