% Model:              SPR_attempt1.mph
% Version:            COMSOL 6.0.0.405
% Date:               Sep 2 2024, 11:54
% Table:              Table 1 - Global Evaluation 1
% in_rad                 h_BSA (nm)               freq (THz)               Reflectance, port 1 (1)
1.08                     0.9999999999999999       304.66713211382114       0.9635321963944387
1.08                     1.9999999999999998       304.66713211382114       0.963433489048379
1.08                     3                        304.66713211382114       0.9633360641720681
1.08                     3.9999999999999996       304.66713211382114       0.9632398844208397
1.08                     4.999999999999999        304.66713211382114       0.9631449226805615
1.08                     6                        304.66713211382114       0.9630511931178768
1.08                     7                        304.66713211382114       0.9629586667423223
1.08                     7.999999999999999        304.66713211382114       0.9628673147878373
1.08                     9                        304.66713211382114       0.9627770996940707
1.08                     9.999999999999998        304.66713211382114       0.9626880451890341
1.08                     11                       304.66713211382114       0.9626001100581202
1.08                     12                       304.66713211382114       0.9625132798007391
1.08                     12.999999999999998       304.66713211382114       0.9624275326185036
1.08                     14                       304.66713211382114       0.9623428574756987
1.08                     15                       304.66713211382114       0.9622592189677107
1.08                     15.999999999999998       304.66713211382114       0.9621766254983843
1.08                     16.999999999999996       304.66713211382114       0.9620950318023916
1.08                     18                       304.66713211382114       0.9620144174283046
1.08                     19                       304.66713211382114       0.9619347972255368
1.08                     19.999999999999996       304.66713211382114       0.9618561316722348
1.08                     21                       304.66713211382114       0.9617784153979244
1.08                     22                       304.66713211382114       0.961701614867351
1.08                     22.999999999999996       304.66713211382114       0.9616257273168665
1.08                     24                       304.66713211382114       0.9615507343834699
1.08                     25                       304.66713211382114       0.9614766157281877
1.08                     25.999999999999996       304.66713211382114       0.961403368110906
1.08                     26.999999999999996       304.66713211382114       0.9613309600987271
1.08                     28                       304.66713211382114       0.9612593695252275
1.08                     28.999999999999996       304.66713211382114       0.9611885937073626
1.08                     30                       304.66713211382114       0.9611186266705259
1.08                     30.999999999999996       304.66713211382114       0.9610494633136726
1.08                     31.999999999999996       304.66713211382114       0.9609810370021511
1.08                     33                       304.66713211382114       0.9609133863567921
1.08                     33.99999999999999        304.66713211382114       0.96084648132067
1.08                     35                       304.66713211382114       0.9607803068823224
1.08                     36                       304.66713211382114       0.960714850047361
1.08                     36.99999999999999        304.66713211382114       0.9606500986767689
1.08                     38                       304.66713211382114       0.9605860409069357
1.08                     39                       304.66713211382114       0.960522657953123
1.08                     39.99999999999999        304.66713211382114       0.9604599535511992
1.08                     41                       304.66713211382114       0.9603978998249529
1.08                     42                       304.66713211382114       0.9603364876776156
1.08                     42.99999999999999        304.66713211382114       0.9602757095535217
1.08                     44                       304.66713211382114       0.9602155544672429
1.08                     45                       304.66713211382114       0.9601560114989721
1.08                     45.99999999999999        304.66713211382114       0.9600970739029189
1.08                     47                       304.66713211382114       0.9600387224143713
1.08                     48                       304.66713211382114       0.959980967707028
1.08                     48.99999999999999        304.66713211382114       0.959923740669891
1.08                     50                       304.66713211382114       0.9598670965458643
1.08                     50.99999999999999        304.66713211382114       0.9598110038227875
1.08                     51.99999999999999        304.66713211382114       0.9597554499705468
1.08                     53                       304.66713211382114       0.9597004320207951
1.08                     53.99999999999999        304.66713211382114       0.9596459306883862
1.08                     54.99999999999999        304.66713211382114       0.9595919468153342
1.08                     56                       304.66713211382114       0.9595384635061288
1.08                     56.99999999999999        304.66713211382114       0.959485475548765
1.08                     57.99999999999999        304.66713211382114       0.9594329744073223
1.08                     59                       304.66713211382114       0.959380954740181
1.08                     60                       304.66713211382114       0.9593294021865331
1.081                    0.9999999999999999       304.66713211382114       0.9640899620325442
1.081                    1.9999999999999998       304.66713211382114       0.963983791962635
1.081                    3                        304.66713211382114       0.9638789917879071
1.081                    3.9999999999999996       304.66713211382114       0.9637755289678128
1.081                    4.999999999999999        304.66713211382114       0.9636733781608497
1.081                    6                        304.66713211382114       0.9635725561266697
1.081                    7                        304.66713211382114       0.9634730361210532
1.081                    7.999999999999999        304.66713211382114       0.9633747910892899
1.081                    9                        304.66713211382114       0.9632777851070031
1.081                    9.999999999999998        304.66713211382114       0.9631820416283534
1.081                    11                       304.66713211382114       0.963087520247715
1.081                    12                       304.66713211382114       0.9629942070301137
1.081                    12.999999999999998       304.66713211382114       0.9629020800757563
1.081                    14                       304.66713211382114       0.9628111281666314
1.081                    15                       304.66713211382114       0.9627213151171853
1.081                    15.999999999999998       304.66713211382114       0.9626326494177826
1.081                    16.999999999999996       304.66713211382114       0.9625450861884842
1.081                    18                       304.66713211382114       0.9624586012867238
1.081                    19                       304.66713211382114       0.9623732103118359
1.081                    19.999999999999996       304.66713211382114       0.9622888721077404
1.081                    21                       304.66713211382114       0.9622055808617879
1.081                    22                       304.66713211382114       0.9621233011989726
1.081                    22.999999999999996       304.66713211382114       0.962042029557474
1.081                    24                       304.66713211382114       0.9619617462440581
1.081                    25                       304.66713211382114       0.9618824292298215
1.081                    25.999999999999996       304.66713211382114       0.9618040748335823
1.081                    26.999999999999996       304.66713211382114       0.9617266488703489
1.081                    28                       304.66713211382114       0.9616501294824256
1.081                    28.999999999999996       304.66713211382114       0.9615745106276448
1.081                    30                       304.66713211382114       0.9614997857591785
1.081                    30.999999999999996       304.66713211382114       0.9614259483707076
1.081                    31.999999999999996       304.66713211382114       0.9613529305578692
1.081                    33                       304.66713211382114       0.9612807692032505
1.081                    33.99999999999999        304.66713211382114       0.9612094329322892
1.081                    35                       304.66713211382114       0.961138905308017
1.081                    36                       304.66713211382114       0.961069171786648
1.081                    36.99999999999999        304.66713211382114       0.961000219175992
1.081                    38                       304.66713211382114       0.9609320336627727
