% Model:              spr_1d_bsa_cake.mph
% Version:            COMSOL 6.2.0.339
% Date:               Feb 23 2025, 14:02
% Table:              Table 1 - Reflectance, Transmittance, and Absorptance (ewfd)
% in_rad                 h_BSA (nm)               freq (THz)               Reflectance, order 0 (1)
1.125                    0.9999999999999999       304.66713211382114       0.9670539237294765
1.125                    6                        304.66713211382114       0.9667787261311199
1.125                    11                       304.66713211382114       0.9663202878029044
1.125                    15.999999999999998       304.66713211382114       0.9657753722733133
1.125                    21                       304.66713211382114       0.9651967859297426
1.125                    25.999999999999996       304.66713211382114       0.9646136561669983
1.125                    30.999999999999996       304.66713211382114       0.9640419420852366
1.125                    36                       304.66713211382114       0.9634901058690726
1.125                    41                       304.66713211382114       0.9629622757609682
1.125                    45.99999999999999        304.66713211382114       0.9624600579124434
1.125                    50.99999999999999        304.66713211382114       0.9619835965320146
1.125                    56                       304.66713211382114       0.961532204204589
1.125                    60.99999999999999        304.66713211382114       0.9611047406406613
1.125                    66                       304.66713211382114       0.9606998414107464
1.125                    70.99999999999999        304.66713211382114       0.9603160557568755
1.125                    76                       304.66713211382114       0.9599519287102696
1.125                    81                       304.66713211382114       0.9596060487517122
1.125                    85.99999999999999        304.66713211382114       0.9592770740884897
1.125                    91                       304.66713211382114       0.9589637457049125
1.125                    96                       304.66713211382114       0.9586648922175464
1.135                    0.9999999999999999       304.66713211382114       0.9606723076173197
1.135                    6                        304.66713211382114       0.9644536796927383
1.135                    11                       304.66713211382114       0.9660553865228101
1.135                    15.999999999999998       304.66713211382114       0.9665809245588046
1.135                    21                       304.66713211382114       0.9665540053949119
1.135                    25.999999999999996       304.66713211382114       0.9662395529523107
1.135                    30.999999999999996       304.66713211382114       0.9657780517865725
1.135                    36                       304.66713211382114       0.9652465280723241
1.135                    41                       304.66713211382114       0.9646881048200143
1.135                    45.99999999999999        304.66713211382114       0.9641271141522366
1.135                    50.99999999999999        304.66713211382114       0.9635771728064456
1.135                    56                       304.66713211382114       0.9630456575346754
1.135                    60.99999999999999        304.66713211382114       0.9625362609482543
1.135                    66                       304.66713211382114       0.9620504874739313
1.135                    70.99999999999999        304.66713211382114       0.9615885462286861
1.135                    76                       304.66713211382114       0.9611498920229966
1.135                    81                       304.66713211382114       0.9607335565073069
1.135                    85.99999999999999        304.66713211382114       0.9603383519137993
1.135                    91                       304.66713211382114       0.9599629963373785
1.135                    96                       304.66713211382114       0.9596061900533666
1.145                    0.9999999999999999       304.66713211382114       0.8922144747842793
1.145                    6                        304.66713211382114       0.9349753992518316
1.145                    11                       304.66713211382114       0.9525331375446225
1.145                    15.999999999999998       304.66713211382114       0.9603725916691046
1.145                    21                       304.66713211382114       0.9639707169170251
1.145                    25.999999999999996       304.66713211382114       0.9655463768846441
1.145                    30.999999999999996       304.66713211382114       0.9660976270104804
1.145                    36                       304.66713211382114       0.9661104229798101
1.145                    41                       304.66713211382114       0.965835998034415
1.145                    45.99999999999999        304.66713211382114       0.9654102031651168
1.145                    50.99999999999999        304.66713211382114       0.9649089228896217
1.145                    56                       304.66713211382114       0.9643754565706555
1.145                    60.99999999999999        304.66713211382114       0.9638347567096681
1.145                    66                       304.66713211382114       0.9633011530948615
1.145                    70.99999999999999        304.66713211382114       0.9627826933099008
1.145                    76                       304.66713211382114       0.9622836544764727
1.145                    81                       304.66713211382114       0.9618060323671981
1.145                    85.99999999999999        304.66713211382114       0.9613504418205466
1.145                    91                       304.66713211382114       0.9609166697351689
1.145                    96                       304.66713211382114       0.9605040185324848
1.155                    0.9999999999999999       304.66713211382114       0.18964392344087408
1.155                    6                        304.66713211382114       0.6617435727603496
1.155                    11                       304.66713211382114       0.8510818617673449
1.155                    15.999999999999998       304.66713211382114       0.9176600057600767
1.155                    21                       304.66713211382114       0.9442684832816225
1.155                    25.999999999999996       304.66713211382114       0.9560667777135778
1.155                    30.999999999999996       304.66713211382114       0.9615969507598575
1.155                    36                       304.66713211382114       0.9641949104541876
1.155                    41                       304.66713211382114       0.9653199429790154
1.155                    45.99999999999999        304.66713211382114       0.9656686373709346
1.155                    50.99999999999999        304.66713211382114       0.965596489281517
1.155                    56                       304.66713211382114       0.9652944240163163
1.155                    60.99999999999999        304.66713211382114       0.9648690021697013
1.155                    66                       304.66713211382114       0.9643813735885512
1.155                    70.99999999999999        304.66713211382114       0.9638672632302274
1.155                    76                       304.66713211382114       0.9633477031765174
1.155                    81                       304.66713211382114       0.9628350191990815
1.155                    85.99999999999999        304.66713211382114       0.96233627859317
1.155                    91                       304.66713211382114       0.9618553297932203
1.155                    96                       304.66713211382114       0.9613940360825198
1.165                    0.9999999999999999       304.66713211382114       0.4820329391674509
1.165                    6                        304.66713211382114       0.12230007235007069
