% Model:              spr_1d_bsa_cake.mph
% Version:            COMSOL 6.2.0.339
% Date:               Feb 23 2025, 23:25
% Table:              Table 1 - Reflectance, Transmittance, and Absorptance (ewfd)
% in_rad                 h_BSA (nm)               freq (THz)               Reflectance, order 0 (1)
0.95                     0.9999999999999999       304.66713211382114       0.9231739787439395
0.95                     3                        304.66713211382114       0.923464448387242
0.95                     4.999999999999999        304.66713211382114       0.9237551659639315
0.95                     7                        304.66713211382114       0.9240458575730462
0.95                     9                        304.66713211382114       0.9243362531309965
0.95                     11                       304.66713211382114       0.9246260948148152
0.95                     12.999999999999998       304.66713211382114       0.9249151355605879
0.95                     15                       304.66713211382114       0.9252031390838976
0.95                     16.999999999999996       304.66713211382114       0.9254898799172725
0.95                     19                       304.66713211382114       0.9257751433771825
0.95                     21                       304.66713211382114       0.9260587255103041
0.95                     22.999999999999996       304.66713211382114       0.9263404329798872
0.95                     25                       304.66713211382114       0.9266200829478416
0.95                     26.999999999999996       304.66713211382114       0.9268975028836551
0.95                     28.999999999999996       304.66713211382114       0.9271725304163775
0.95                     30.999999999999996       304.66713211382114       0.9274450131052421
0.95                     33                       304.66713211382114       0.9277148081837413
0.95                     35                       304.66713211382114       0.927981782356608
0.95                     36.99999999999999        304.66713211382114       0.9282458114951246
0.95                     39                       304.66713211382114       0.9285067803882128
0.95                     41                       304.66713211382114       0.9287645824278833
0.95                     42.99999999999999        304.66713211382114       0.9290191193419826
0.95                     45                       304.66713211382114       0.9292703008664119
0.95                     47                       304.66713211382114       0.9295180444514871
0.95                     48.99999999999999        304.66713211382114       0.9297622749586248
0.955                    0.9999999999999999       304.66713211382114       0.922521483254908
0.955                    3                        304.66713211382114       0.9228325863993873
0.955                    4.999999999999999        304.66713211382114       0.9231436071507053
0.955                    7                        304.66713211382114       0.9234542567597376
0.955                    9                        304.66713211382114       0.9237642518695951
0.955                    11                       304.66713211382114       0.9240733230225937
0.955                    12.999999999999998       304.66713211382114       0.9243812130721698
0.955                    15                       304.66713211382114       0.9246876771382595
0.955                    16.999999999999996       304.66713211382114       0.9249924825799276
0.955                    19                       304.66713211382114       0.9252954088966125
0.955                    21                       304.66713211382114       0.9255962476026374
0.955                    22.999999999999996       304.66713211382114       0.9258948020417234
0.955                    25                       304.66713211382114       0.9261908872021082
0.955                    26.999999999999996       304.66713211382114       0.9264843294500487
0.955                    28.999999999999996       304.66713211382114       0.926774966311728
0.955                    30.999999999999996       304.66713211382114       0.9270626461779813
0.955                    33                       304.66713211382114       0.9273472279748031
0.955                    35                       304.66713211382114       0.9276285808942473
0.955                    36.99999999999999        304.66713211382114       0.9279065840279717
0.955                    39                       304.66713211382114       0.9281811260519681
0.955                    41                       304.66713211382114       0.9284521048498616
0.955                    42.99999999999999        304.66713211382114       0.9287194271930996
0.955                    45                       304.66713211382114       0.928983008350685
0.955                    47                       304.66713211382114       0.9292427717438259
0.955                    48.99999999999999        304.66713211382114       0.9294986485970942
0.96                     0.9999999999999999       304.66713211382114       0.9218674123662728
0.96                     3                        304.66713211382114       0.9222008577821665
0.96                     4.999999999999999        304.66713211382114       0.9225338203858691
0.96                     7                        304.66713211382114       0.9228659968693229
0.96                     9                        304.66713211382114       0.9231970911119876
0.96                     11                       304.66713211382114       0.9235268227431194
0.96                     12.999999999999998       304.66713211382114       0.9238549254452911
0.96                     15                       304.66713211382114       0.9241811468253689
0.96                     16.999999999999996       304.66713211382114       0.9245052483038987
0.96                     19                       304.66713211382114       0.9248270049305095
0.96                     21                       304.66713211382114       0.9251462051741232
0.96                     22.999999999999996       304.66713211382114       0.9254626506447698
0.96                     25                       304.66713211382114       0.9257761558278748
0.96                     26.999999999999996       304.66713211382114       0.9260865477289086
0.96                     28.999999999999996       304.66713211382114       0.9263936655701825
0.96                     30.999999999999996       304.66713211382114       0.9266973604162133
0.96                     33                       304.66713211382114       0.9269974947603454
0.96                     35                       304.66713211382114       0.9272939421788531
0.96                     36.99999999999999        304.66713211382114       0.9275865868905443
0.96                     39                       304.66713211382114       0.9278753233685001
0.96                     41                       304.66713211382114       0.928160055891862
0.96                     42.99999999999999        304.66713211382114       0.9284406981653691
0.96                     45                       304.66713211382114       0.9287171728617863
0.96                     47                       304.66713211382114       0.9289894112180058
0.96                     48.99999999999999        304.66713211382114       0.929257352634533
0.965                    0.9999999999999999       304.66713211382114       0.9212146662849241
0.965                    3                        304.66713211382114       0.9215723358427071
0.965                    4.999999999999999        304.66713211382114       0.9219290385382853
0.965                    7                        304.66713211382114       0.92228445723772
0.965                    9                        304.66713211382114       0.9226382840374372
0.965                    11                       304.66713211382114       0.9229902288666734
0.965                    12.999999999999998       304.66713211382114       0.9233400176525621
0.965                    15                       304.66713211382114       0.9236873920865529
0.965                    16.999999999999996       304.66713211382114       0.9240321094077306
0.965                    19                       304.66713211382114       0.9243739421082358
0.965                    21                       304.66713211382114       0.9247126776194295
0.965                    22.999999999999996       304.66713211382114       0.9250481179257273
0.965                    25                       304.66713211382114       0.9253800791927386
