% Model:              spr_bsa_calc.mph
% Version:            COMSOL 6.0.0.405
% Date:               Dec 4 2024, 16:15
% Table:              Table 1 - Global Evaluation 2
% in_rad                 h_BSA (nm)               freq (THz)               Reflectance, order 0 (1)
1.08                     0.9999999999999999       304.66713211382114       0.9633588821791381
1.08                     6                        304.66713211382114       0.9627761536427122
1.08                     11                       304.66713211382114       0.9622369404122938
1.08                     15.999999999999998       304.66713211382114       0.9617371486466165
1.08                     21                       304.66713211382114       0.961272861802269
1.08                     25.999999999999996       304.66713211382114       0.9608404665863236
1.08                     30.999999999999996       304.66713211382114       0.9604366945287666
1.08                     36                       304.66713211382114       0.9600586211109078
1.08                     41                       304.66713211382114       0.9597036447737466
1.08                     45.99999999999999        304.66713211382114       0.959369457676576
1.081                    0.9999999999999999       304.66713211382114       0.9639159138242646
1.081                    6                        304.66713211382114       0.963288921680942
1.081                    11                       304.66713211382114       0.9627090665889083
1.081                    15.999999999999998       304.66713211382114       0.9621723823337857
1.081                    21                       304.66713211382114       0.9616748040277074
1.081                    25.999999999999996       304.66713211382114       0.9612124490627029
1.081                    30.999999999999996       304.66713211382114       0.960781738154137
1.081                    36                       304.66713211382114       0.9603794344642677
1.081                    41                       304.66713211382114       0.9600026417618227
1.081                    45.99999999999999        304.66713211382114       0.9596487833074965
1.082                    0.9999999999999999       304.66713211382114       0.9644377618543444
1.082                    6                        304.66713211382114       0.9637699156389316
1.082                    11                       304.66713211382114       0.9631518079027763
1.082                    15.999999999999998       304.66713211382114       0.9625800246264758
1.082                    21                       304.66713211382114       0.9620505855969392
1.082                    25.999999999999996       304.66713211382114       0.9615594698632836
1.082                    30.999999999999996       304.66713211382114       0.9611028626162234
1.082                    36                       304.66713211382114       0.9606772589817614
1.082                    41                       304.66713211382114       0.9602794947712388
1.082                    45.99999999999999        304.66713211382114       0.9599067409525011
1.083                    0.9999999999999999       304.66713211382114       0.9649287672082759
1.083                    6                        304.66713211382114       0.9642238643729348
1.083                    11                       304.66713211382114       0.9635700110103946
1.083                    15.999999999999998       304.66713211382114       0.9629649035184148
1.083                    21                       304.66713211382114       0.9624049470879281
1.083                    25.999999999999996       304.66713211382114       0.9618861487254502
1.083                    30.999999999999996       304.66713211382114       0.9614045522489646
1.083                    36                       304.66713211382114       0.9609564392610316
1.083                    41                       304.66713211382114       0.9605384099103664
1.083                    45.99999999999999        304.66713211382114       0.9601474024996346
1.084                    0.9999999999999999       304.66713211382114       0.9653918297115901
1.084                    6                        304.66713211382114       0.9646542062895054
1.084                    11                       304.66713211382114       0.9639673212528544
1.084                    15.999999999999998       304.66713211382114       0.9633307060674958
1.084                    21                       304.66713211382114       0.9627415342959807
1.084                    25.999999999999996       304.66713211382114       0.9621960491958835
1.084                    30.999999999999996       304.66713211382114       0.9616902693735863
1.084                    36                       304.66713211382114       0.9612203291732997
1.084                    41                       304.66713211382114       0.9607826317113467
1.084                    45.99999999999999        304.66713211382114       0.9603739056564857
1.085                    0.9999999999999999       304.66713211382114       0.9658286546701712
1.085                    6                        304.66713211382114       0.9650633604642374
1.085                    11                       304.66713211382114       0.9643464618989069
1.085                    15.999999999999998       304.66713211382114       0.9636802585643433
1.085                    21                       304.66713211382114       0.9630631759562222
1.085                    25.999999999999996       304.66713211382114       0.9624919522487346
1.085                    30.999999999999996       304.66713211382114       0.9619627229811498
1.085                    36                       304.66713211382114       0.9614715552090606
1.085                    41                       304.66713211382114       0.9610147009764943
1.085                    45.99999999999999        304.66713211382114       0.9605887062791838
1.086                    0.9999999999999999       304.66713211382114       0.9662399052613712
1.086                    6                        304.66713211382114       0.9654529092553443
1.086                    11                       304.66713211382114       0.9647094272413931
1.086                    15.999999999999998       304.66713211382114       0.9640157218898666
1.086                    21                       304.66713211382114       0.9633720777341915
1.086                    25.999999999999996       304.66713211382114       0.9627760472452369
1.086                    30.999999999999996       304.66713211382114       0.962224055891163
1.086                    36                       304.66713211382114       0.9617121995013859
1.086                    41                       304.66713211382114       0.9612366335570613
1.086                    45.99999999999999        304.66713211382114       0.9607937529230209
1.087                    0.9999999999999999       304.66713211382114       0.9666252847711408
1.087                    6                        304.66713211382114       0.9658237185586873
1.087                    11                       304.66713211382114       0.9650576165431481
1.087                    15.999999999999998       304.66713211382114       0.9643387294100761
1.087                    21                       304.66713211382114       0.963669959943366
1.087                    25.999999999999996       304.66713211382114       0.9630500676567413
1.087                    30.999999999999996       304.66713211382114       0.962475977675887
1.087                    36                       304.66713211382114       0.9619439296172573
1.087                    41                       304.66713211382114       0.9614500469065849
1.087                    45.99999999999999        304.66713211382114       0.9609906101697024
