0.000000000000000000e+00,-1.238827240382416733e-01
1.000000000000000000e+00,-8.039892708604694238e-02
2.000000000000000000e+00,3.199486452335886799e-02
3.000000000000000000e+00,7.126089609265903735e-02
4.000000000000000000e+00,7.657365503614385616e-02
5.000000000000000000e+00,-2.415755219076795579e-02
6.000000000000000000e+00,2.526912946930484072e-01
7.000000000000000000e+00,9.275714577285384954e-02
8.000000000000000000e+00,1.626519968163889218e-01
9.000000000000000000e+00,1.065182701950088684e-01
1.000000000000000000e+01,2.830617989263590761e-01
1.100000000000000000e+01,-1.140674672222284636e-01
1.200000000000000000e+01,6.180239528179851116e-02
1.300000000000000000e+01,1.554842707933646317e-01
1.400000000000000000e+01,1.321957888140799786e-01
1.500000000000000000e+01,2.136778927985494292e-02
1.600000000000000000e+01,-3.694074424780868782e-02
1.700000000000000000e+01,-2.781996273057160129e-01
1.800000000000000000e+01,-2.396270114179213928e-01
1.900000000000000000e+01,-2.277906098785836553e-01
2.000000000000000000e+01,-3.273747351189711940e-01
2.100000000000000000e+01,-3.611573928122310817e-01
2.200000000000000000e+01,-2.124013001379123355e-01
2.300000000000000000e+01,-1.000868729996622630e-01
2.400000000000000000e+01,-5.428421739343083918e-02
2.500000000000000000e+01,-1.328764803180522980e-01
2.600000000000000000e+01,-2.365426191914894727e-01
2.700000000000000000e+01,-2.342744582695314437e-01
2.800000000000000000e+01,-1.289383879464693072e-01
2.900000000000000000e+01,-5.365296132994876177e-02
3.000000000000000000e+01,-1.035602036592473130e-01
3.100000000000000000e+01,-2.155897927921660573e-01
3.200000000000000000e+01,-2.395728369648525979e-01
3.300000000000000000e+01,-3.898091186645266104e-01
3.400000000000000000e+01,-1.515157846251943830e-01
3.500000000000000000e+01,-1.678527377557745837e-01
3.600000000000000000e+01,-2.772795404077991188e-01
3.700000000000000000e+01,-3.415079728332005571e-01
3.800000000000000000e+01,-2.793692960936541847e-01
3.900000000000000000e+01,-1.693913185099263918e-01
4.000000000000000000e+01,-1.505588076431217115e-01
4.100000000000000000e+01,-2.466713659493059985e-01
4.200000000000000000e+01,-3.362666618837990007e-01
4.300000000000000000e+01,-3.061185600546878494e-01
4.400000000000000000e+01,-3.408855167487350180e-01
4.500000000000000000e+01,-1.421682336331993035e-01
4.600000000000000000e+01,-2.155583807309640332e-01
4.700000000000000000e+01,-2.490797878021951406e-01
4.800000000000000000e+01,-3.111059551055861405e-01
4.900000000000000000e+01,-3.806936045286560821e-01
5.000000000000000000e+01,-3.168805827246536366e-01
5.100000000000000000e+01,-1.715481879245640828e-01
5.200000000000000000e+01,-2.839419795339702679e-01
5.300000000000000000e+01,-3.232080111032712422e-01
5.400000000000000000e+01,-2.397238001081679615e-01
5.500000000000000000e+01,-2.645198394278741594e-02
5.600000000000000000e+01,-1.483135426727698047e-01
5.700000000000000000e+01,-2.559072908448771777e-01
5.800000000000000000e+01,-3.258021418884123888e-01
5.900000000000000000e+01,-2.696684152670330015e-01
6.000000000000000000e+01,-3.928717607974624437e-01
6.100000000000000000e+01,-3.671174639198273026e-01
6.200000000000000000e+01,-2.009335079709065885e-01
6.300000000000000000e+01,-2.946153834824720708e-01
6.400000000000000000e+01,-2.713269015031876119e-01
6.500000000000000000e+01,-1.604989019689624374e-01
6.600000000000000000e+01,-1.021903684412988622e-01
6.700000000000000000e+01,-1.700887623303818375e-01
6.800000000000000000e+01,-2.783874276148996518e-01
6.900000000000000000e+01,-5.396168867713666550e-01
7.000000000000000000e+01,-6.728115640330795122e-02
7.100000000000000000e+01,1.787396825325576755e-02
7.200000000000000000e+01,-1.901477264112111376e-02
7.300000000000000000e+01,-1.313291997793701871e-01
7.400000000000000000e+01,-1.771318553856026101e-01
7.500000000000000000e+01,-9.853959246098126235e-02
7.600000000000000000e+01,5.126546412456189916e-03
7.700000000000000000e+01,1.085406676201413623e-01
7.800000000000000000e+01,-1.547615117482712410e-01
7.900000000000000000e+01,4.831322355730816032e-02
8.000000000000000000e+01,9.822046588660743316e-02
8.100000000000000000e+01,2.102500550195249840e-01
8.200000000000000000e+01,2.362648947247225628e-01
8.300000000000000000e+01,1.547778124391381294e-01
8.400000000000000000e+01,1.382397181190789803e-01
